Record ID,Division,SectionID,PWI,OHEMas,TRDFeature,EngFeature,Remark ,Remark ,Latitude,Longitude,Altitude,Validity,Speed,Satellites,ModifiedDate
24,ADI,GNC-KLL,,18-Feb,,,,,23.25345,72.64179,11.76528,,,8,03-07-2018 14:40
25,ADI,GNC-KLL,,18-Jan,,,,,23.25392,72.64209,11.97864,,,8,03-07-2018 14:39
26,ADI,GNC-KLL,,17/17,ATD,,,,23.25448,72.64242,13.31976,,,8,03-07-2018 14:38
27,ADI,GNC-KLL,,17/16,UIOL,,,,23.25499,72.64273,12.61872,,,8,03-07-2018 14:37
28,ADI,GNC-KLL,,17/15,UIOL,,,,23.25546,72.64302,15.63624,,,8,03-07-2018 14:36
29,ADI,GNC-KLL,,17/14,ATD,,,,23.2559,72.64334,17.43456,,,8,03-07-2018 14:35
30,ADI,GNC-KLL,,17/13,,,,,23.2564,72.64366,15.02664,,,9,03-07-2018 14:34
31,ADI,GNC-KLL,,17-Dec,,,,,23.25686,72.64397,14.81328,,,9,03-07-2018 14:32
32,ADI,GNC-KLL,,17-Nov,,,,,23.25735,72.64427,15.97152,,,8,03-07-2018 14:31
33,ADI,GNC-KLL,,17-Oct,,,,,23.25787,72.6446,18.10512,,,9,03-07-2018 14:30
34,ADI,GNC-KLL,,17-Sep,,,,,23.25836,72.64495,16.6116,,,9,03-07-2018 14:29
35,ADI,GNC-KLL,,17-Aug,ACA,LC NO 10,,,23.25882,72.64517,17.6784,,,7,03-07-2018 14:27
36,ADI,GNC-KLL,,17-Jul,ACC,,,,23.25916,72.6454,18.10512,,,8,03-07-2018 14:26
37,ADI,GNC-KLL,,17-Jun,ACA,,,,23.25962,72.64564,16.82496,,,10,03-07-2018 14:25
38,ADI,GNC-KLL,,17-May,,,,,23.26008,72.64586,15.97152,,,9,03-07-2018 14:24
39,ADI,GNC-KLL,,17-Apr,,,,,23.26051,72.64605,17.61744,,,10,03-07-2018 14:23
40,ADI,GNC-KLL,,17-Mar,,,,,23.26098,72.64623,17.92224,,,10,03-07-2018 14:22
41,ADI,GNC-KLL,,17-Feb,,,,,23.2614,72.64642,18.62328,,,9,03-07-2018 14:21
42,ADI,GNC-KLL,,17-Jan,,,,,23.26186,72.64654,19.32432,,,9,03-07-2018 14:20
43,ADI,GNC-KLL,,16/25,,,,,23.2622,72.64661,19.47672,,,9,03-07-2018 14:19
44,ADI,GNC-KLL,,16/24,ATD,,,,23.26254,72.64674,19.69008,,,9,03-07-2018 14:18
45,ADI,GNC-KLL,,16/22,UIOL,,,,23.26326,72.64684,18.40992,,,8,03-07-2018 14:16
46,ADI,GNC-KLL,,16/21,UIOL,,,,23.26368,72.64693,18.47088,,,8,03-07-2018 14:16
47,ADI,GNC-KLL,,16/20,UIOL,,,,23.26398,72.64692,20.90928,,,8,03-07-2018 14:15
48,ADI,GNC-KLL,,16/19,ATD,,,,23.26434,72.6469,21.1836,,,9,03-07-2018 14:14
49,ADI,GNC-KLL,,16/18,,,,,23.26469,72.64683,21.4884,,,6,03-07-2018 14:13
50,ADI,GNC-KLL,,16/17,,,,,23.26504,72.64673,22.58568,,,8,03-07-2018 14:12
51,ADI,GNC-KLL,,16/16,,,,,23.2654,72.6466,22.52472,,,7,03-07-2018 14:11
52,ADI,GNC-KLL,,16/15,,,,,23.26574,72.64647,23.22576,,,8,03-07-2018 14:10
53,ADI,GNC-KLL,,16/14,,,,,23.26605,72.64633,24.50592,,,7,03-07-2018 14:09
54,ADI,GNC-KLL,,16/13,,,,,23.26632,72.64616,25.23744,,,8,03-07-2018 14:09
55,ADI,GNC-KLL,,16-Dec,,,,,23.26665,72.64599,25.02408,,,7,03-07-2018 14:08
56,ADI,GNC-KLL,,16-Nov,,,,,23.26695,72.64581,25.02408,,,9,03-07-2018 14:07
57,ADI,GNC-KLL,,16-Oct,,,,,23.26723,72.64558,25.51176,,,7,03-07-2018 14:06
58,ADI,GNC-KLL,,16-Sep,ACA,,,,23.26735,72.64548,25.32888,,,8,03-07-2018 14:06
59,ADI,GNC-KLL,,16-Aug,ACC,,,,23.26777,72.64506,25.42032,,,9,03-07-2018 14:03
60,ADI,GNC-KLL,,16-Jul,ACA,,,,23.268,72.64475,25.146,,,9,03-07-2018 14:02
61,ADI,GNC-KLL,,16-Jun,,,,,23.26825,72.64443,24.50592,,,9,03-07-2018 14:02
62,ADI,GNC-KLL,,16-May,,,,,23.26841,72.6442,24.74976,,,9,03-07-2018 14:01
63,ADI,GNC-KLL,,16-Apr,,,,,23.26861,72.6439,24.78024,,,9,03-07-2018 14:00
64,ADI,GNC-KLL,,16-Mar,,,,,23.2688,72.64355,24.20112,,,10,03-07-2018 13:59
65,ADI,GNC-KLL,,16-Feb,,LC NO 9,,,23.26894,72.64322,23.28672,,,8,03-07-2018 13:58
66,ADI,GNC-KLL,,16-Jan,,,,,23.26912,72.64274,20.7264,,,10,03-07-2018 13:57
67,ADI,GNC-KLL,,15/19,,,,,23.26925,72.64241,21.336,,,9,03-07-2018 13:56
68,ADI,GNC-KLL,,15/18,,,,,23.26947,72.64198,25.2984,,,10,03-07-2018 13:03
69,ADI,GNC-KLL,,15/17,,POWER LINE ROSSING,,,23.26965,72.64154,25.2984,,,10,03-07-2018 13:02
70,ADI,GNC-KLL,,15/16,ATD,,,,23.26979,72.64113,25.42032,,,10,03-07-2018 13:01
71,ADI,GNC-KLL,,15/15,UIOL,,,,23.26992,72.64069,25.05456,,,10,03-07-2018 13:00
72,ADI,GNC-KLL,,15/14,UIOL,,,,23.27003,72.64027,25.93848,,,10,03-07-2018 12:59
73,ADI,GNC-KLL,,15/13,UIOL,,,,23.27014,72.63986,26.27376,,,9,03-07-2018 12:58
74,ADI,GNC-KLL,,15-Dec,ATD,,,,23.2702,72.63941,25.26792,,,10,03-07-2018 12:57
75,ADI,GNC-KLL,,15-Nov,,,,,23.27025,72.63897,25.05456,,,9,03-07-2018 12:56
76,ADI,GNC-KLL,,15-Oct,,,,,23.27027,72.63854,25.42032,,,10,03-07-2018 12:55
77,ADI,GNC-KLL,,15-Sep,,,,,23.27029,72.63802,25.26792,,,9,03-07-2018 12:53
78,ADI,GNC-KLL,,15-Aug,,,,,23.27032,72.63738,24.90216,,,9,03-07-2018 12:52
79,ADI,GNC-KLL,,15-Jul,,,,,23.27036,72.63674,24.90216,,,9,03-07-2018 12:51
80,ADI,GNC-KLL,,15-Jun,,,,,23.27038,72.63612,24.96312,,,9,03-07-2018 12:50
81,ADI,GNC-KLL,,15-May,ACA,,,,23.27041,72.63546,26.67,,,8,03-07-2018 12:48
82,ADI,GNC-KLL,,15-Apr,ACC,,,,23.27044,72.63485,26.0604,,,9,03-07-2018 12:47
83,ADI,GNC-KLL,,15-Mar,ACA,,,,23.27045,72.63433,25.66416,,,9,03-07-2018 12:45
84,ADI,GNC-KLL,,15-Feb,,,,,23.27048,72.63373,25.17648,,,9,03-07-2018 12:43
85,ADI,GNC-KLL,,15-Jan,,,,,23.27052,72.63309,25.146,,,9,03-07-2018 12:42
86,ADI,GNC-KLL,,14/15,,,,,23.27053,72.63247,25.42032,,,9,03-07-2018 12:40
87,ADI,GNC-KLL,,14/14,,,,,23.27056,72.63194,25.2984,,,9,03-07-2018 12:39
88,ADI,GNC-KLL,,14/13,,,,,23.27058,72.63128,25.08504,,,9,03-07-2018 12:38
89,ADI,GNC-KLL,,14-Dec,ATD,,,,23.2706,72.63067,24.5364,,,9,03-07-2018 12:36
90,ADI,GNC-KLL,,14-Nov,UIOL,,,,23.27064,72.62999,24.47544,,,9,03-07-2018 12:35
91,ADI,GNC-KLL,,14-Oct,UIOL,,,,23.27066,72.62931,25.26792,,,9,03-07-2018 12:34
92,ADI,GNC-KLL,,14-Sep,ATD,,,,23.2707,72.6287,24.93264,,,8,03-07-2018 12:32
93,ADI,GNC-KLL,,14-Aug,,,,,23.27071,72.62806,24.74976,,,9,03-07-2018 12:31
94,ADI,GNC-KLL,,14-Jul,,,,,23.27072,72.62742,24.01824,,,10,03-07-2018 12:27
95,ADI,GNC-KLL,,14-Jun,,,,,23.27076,72.62677,24.17064,,,10,03-07-2018 12:26
96,ADI,GNC-KLL,,14-May,,,,,23.27078,72.6261,24.384,,,9,03-07-2018 12:25
97,ADI,GNC-KLL,,14-Apr,,,,,23.27081,72.62548,24.96312,,,10,03-07-2018 12:24
98,ADI,GNC-KLL,,14-Mar,,,,,23.27083,72.62481,24.5364,,,10,03-07-2018 12:22
99,ADI,GNC-KLL,,14-Feb,ACA,,,,23.27086,72.62416,24.96312,,,11,03-07-2018 12:21
100,ADI,GNC-KLL,,14-Jan,ACC,,,,23.2709,72.62352,24.44496,,,10,03-07-2018 12:20
101,ADI,GNC-KLL,,13/16,ACA,,,,23.27093,72.62302,24.62784,,,8,03-07-2018 12:17
102,ADI,GNC-KLL,,13/15,,,,,23.27094,72.62239,23.22576,,,10,03-07-2018 12:16
103,ADI,GNC-KLL,,13/14,,,,,23.27095,72.62224,23.7744,,,8,03-07-2018 12:15
104,ADI,GNC-KLL,,13/13,,POWER LINE ROSSING,,,23.27099,72.62122,24.47544,,,10,03-07-2018 12:12
105,ADI,GNC-KLL,,13-Dec,,,,,23.27102,72.62058,24.8412,,,10,03-07-2018 12:11
106,ADI,GNC-KLL,,13-Nov,,,,,23.27105,72.61993,24.384,,,10,03-07-2018 12:09
107,ADI,GNC-KLL,,13-Oct,,,,,23.27106,72.61929,24.96312,,,11,03-07-2018 12:08
108,ADI,GNC-KLL,,13-Sep,ATD,,,,23.2711,72.61865,25.2984,,,10,03-07-2018 12:06
109,ADI,GNC-KLL,,13-Aug,UIOL,,,,23.27112,72.618,25.23744,,,11,03-07-2018 12:05
110,ADI,GNC-KLL,,13-Jul,UIOL,,,,23.27116,72.61739,25.38984,,,11,03-07-2018 12:04
111,ADI,GNC-KLL,,13-Jun,ATD,,,,23.27119,72.61673,25.93848,,,9,03-07-2018 12:02
112,ADI,GNC-KLL,,13-May,,,,,23.27121,72.61607,23.98776,,,11,03-07-2018 11:46
113,ADI,GNC-KLL,,13-Apr,,,,,23.27123,72.61548,24.6888,,,12,03-07-2018 11:45
114,ADI,GNC-KLL,,13-Mar,,,,,23.27126,72.6149,24.41448,,,12,03-07-2018 11:44
115,ADI,GNC-KLL,,13-Feb,,,,,23.27129,72.61428,24.6888,,,12,03-07-2018 11:43
116,ADI,GNC-KLL,,13-Jan,ACA,,,,23.27131,72.61366,25.32888,,,10,03-07-2018 11:41
117,ADI,GNC-KLL,,012/16,ACC,,,,23.27135,72.61304,24.90216,,,11,03-07-2018 11:40
118,ADI,GNC-KLL,,012/15,ACA,,,,23.27138,72.61238,25.23744,,,11,03-07-2018 11:39
119,ADI,GNC-KLL,,012/14,,,,,23.27138,72.61171,24.50592,,,11,03-07-2018 11:37
120,ADI,GNC-KLL,,012/13,,,,,23.27142,72.61108,24.62784,,,11,03-07-2018 11:35
121,ADI,GNC-KLL,,012/12,,,,,23.27144,72.61044,23.68296,,,10,03-07-2018 11:34
122,ADI,GNC-KLL,,012/11,,,,,23.27147,72.60978,24.41448,,,9,03-07-2018 11:33
123,ADI,GNC-KLL,,012/10,,,,,23.27149,72.60918,25.146,,,9,03-07-2018 11:32
124,ADI,GNC-KLL,,012/9,,,,,23.27153,72.60856,24.74976,,,10,03-07-2018 11:31
125,ADI,GNC-KLL,,012/8,,,,,23.27155,72.6079,25.32888,,,10,03-07-2018 11:29
126,ADI,GNC-KLL,,012/7,,,,,23.27157,72.60728,25.7556,,,11,03-07-2018 11:28
127,ADI,GNC-KLL,,012/6,,,,,23.27161,72.60667,25.69464,,,11,03-07-2018 11:27
128,ADI,GNC-KLL,,012/5,,,,,23.27165,72.6061,26.57856,,,8,03-07-2018 11:20
129,ADI,GNC-KLL,,012/4,,,,,23.27163,72.60563,26.30424,,,8,03-07-2018 11:18
130,ADI,GNC-KLL,,012/3,ACA,,,,23.27167,72.60506,26.5176,,,10,03-07-2018 10:52
131,ADI,GNC-KLL,,012/2,ACC,,,,23.27167,72.60456,26.0604,,,9,03-07-2018 10:51
132,ADI,GNC-KLL,,012/1,ACA,,,,23.27171,72.60402,25.32888,,,9,03-07-2018 10:50
133,ADI,GNC-KLL,,011/16,,,,,23.27174,72.60341,25.51176,,,10,03-07-2018 10:49
134,ADI,GNC-KLL,,011/15,,,,,23.27176,72.60276,26.09088,,,10,03-07-2018 10:47
135,ADI,GNC-KLL,,011/14,,,,,23.27176,72.60209,25.38984,,,9,03-07-2018 10:46
136,ADI,GNC-KLL,,011/13,ATD,,,,23.27179,72.60146,24.47544,,,10,03-07-2018 10:45
137,ADI,GNC-KLL,,011/12,UIOL,,,,23.27182,72.60081,24.47544,,,9,03-07-2018 10:44
138,ADI,GNC-KLL,,011/11,UIOL,,,,23.27184,72.6002,25.2984,,,9,03-07-2018 10:42
139,ADI,GNC-KLL,,011/10,ATD,,,,23.27187,72.59955,24.62784,,,9,03-07-2018 10:41
140,ADI,GNC-KLL,,011/9,,,,,23.2719,72.59889,24.26208,,,10,03-07-2018 10:39
141,ADI,GNC-KLL,,011/8,,,,,23.27192,72.59827,23.68296,,,9,03-07-2018 10:38
142,ADI,GNC-KLL,,011/7,,,,,23.27195,72.59773,24.32304,,,10,03-07-2018 10:37
143,ADI,GNC-KLL,,011/6,,,,,23.27199,72.59713,25.48128,,,9,03-07-2018 10:36
144,ADI,GNC-KLL,,011/5,,,,,23.27201,72.59645,24.87168,,,9,03-07-2018 10:34
145,ADI,GNC-KLL,,011/4,,,,,23.27203,72.5958,24.8412,,,8,03-07-2018 10:33
146,ADI,GNC-KLL,,011/3,ACA,,,,23.27207,72.59518,24.41448,,,9,03-07-2018 10:31
147,ADI,GNC-KLL,,011/2,ACC,,,,23.27208,72.59466,24.93264,,,9,03-07-2018 10:30
148,ADI,GNC-KLL,,011/1,ACA,,,,23.27206,72.59412,24.44496,,,9,03-07-2018 10:28
149,ADI,GNC-KLL,,010/17,,,,,23.27204,72.59362,24.44496,,,8,03-07-2018 10:27
150,ADI,GNC-KLL,,010/16,,,,,23.272,72.59309,23.7744,,,8,03-07-2018 10:26
151,ADI,GNC-KLL,,010/15,,,,,23.27195,72.59253,23.7744,,,9,03-07-2018 10:25
152,ADI,GNC-KLL,,010/14,,,,,23.27185,72.59194,22.52472,,,7,03-07-2018 10:23
153,ADI,GNC-KLL,,010/13,,,,,23.27178,72.59142,23.7744,,,9,03-07-2018 10:22
154,ADI,GNC-KLL,,010/12,,,,,23.27168,72.59091,24.04872,,,9,03-07-2018 10:21
155,ADI,GNC-KLL,,010/11,,,,,23.27157,72.59041,24.5364,,,9,03-07-2018 10:20
156,ADI,GNC-KLL,,010/10,ATD,,,,23.27144,72.58985,24.2316,,,9,03-07-2018 10:19
157,ADI,GNC-KLL,,010/9,UIOL,,,,23.2713,72.58929,25.08504,,,9,03-07-2018 10:18
158,ADI,GNC-KLL,,010/8,UIOL,,,,23.27111,72.58876,24.74976,,,10,03-07-2018 10:17
159,ADI,GNC-KLL,,010/7,ATD,,,,23.2709,72.58819,24.2316,,,10,03-07-2018 10:15
160,ADI,GNC-KLL,,010/6,,,,,23.27069,72.58766,24.65832,,,9,03-07-2018 10:14
161,ADI,GNC-KLL,,010/5,,,,,23.27045,72.58714,24.8412,,,10,03-07-2018 10:13
162,ADI,GNC-KLL,,010/4,,,,,23.27026,72.5867,25.51176,,,10,03-07-2018 10:11
163,ADI,GNC-KLL,,010/3,,,,,23.27001,72.58623,23.71344,,,9,03-07-2018 10:09
164,ADI,GNC-KLL,,010/2,,,,,23.26975,72.58572,22.95144,,,8,03-07-2018 10:08
165,ADI,GNC-KLL,,010/1,,,,,23.26945,72.58521,22.7076,,,9,03-07-2018 10:06
166,ADI,GNC-KLL,,009/16,,,,,23.26914,72.58466,23.40864,,,9,03-07-2018 10:05
167,ADI,GNC-KLL,,009/15,ACA,,,,23.26883,72.58415,23.28672,,,10,03-07-2018 10:03
168,ADI,GNC-KLL,,009/14,ACC,,,,23.2685,72.58356,22.21992,,,9,03-07-2018 10:02
169,ADI,GNC-KLL,,009/13,ACA,,,,23.2682,72.58302,22.7076,,,9,03-07-2018 10:00
170,ADI,GNC-KLL,,009/12,,,,,23.2679,72.58247,23.37816,,,9,03-07-2018 09:59
171,ADI,GNC-KLL,,009/11,,LC NO 8,,,23.26766,72.58203,23.19528,,,9,03-07-2018 09:57
172,ADI,GNC-KLL,,009/10,,,,,23.26731,72.58146,22.64664,,,10,03-07-2018 09:56
173,ADI,GNC-KLL,,009/9,,,,,23.26703,72.58094,22.7076,,,10,03-07-2018 09:55
174,ADI,GNC-KLL,,009/8,,,,,23.2667,72.58039,22.37232,,,9,03-07-2018 09:53
175,ADI,GNC-KLL,,009/7,,,,,23.26638,72.57982,22.18944,,,10,03-07-2018 09:52
176,ADI,GNC-KLL,,009/6,ATD,,,,23.26606,72.57926,21.73224,,,10,03-07-2018 09:50
177,ADI,GNC-KLL,,009/5,UIOL,,,,23.26584,72.57886,21.57984,,,9,03-07-2018 09:49
178,ADI,GNC-KLL,,009/4,UIOL,,,,23.26552,72.57832,22.34184,,,8,03-07-2018 09:48
179,ADI,GNC-KLL,,009/3,ATD,,,,23.26528,72.57787,23.43912,,,10,03-07-2018 09:46
180,ADI,GNC-KLL,,009/2,,,,,23.26495,72.57732,23.3172,,,10,03-07-2018 09:45
181,ADI,GNC-KLL,,009/1,,,,,23.26463,72.57674,22.73808,,,11,03-07-2018 09:44
182,ADI,GNC-KLL,,008/16,,,,,23.26432,72.57622,23.56104,,,9,03-07-2018 09:42
183,ADI,GNC-KLL,,008/15,,,,,23.26401,72.57566,23.22576,,,10,03-07-2018 09:41
184,ADI,GNC-KLL,,008/14,,,,,23.26369,72.57509,22.89048,,,11,03-07-2018 09:40
185,ADI,GNC-KLL,,008/13,ACA,,,,23.26338,72.57456,21.9456,,,11,03-07-2018 09:39
186,ADI,GNC-KLL,,008/12,ACC,,,,23.26307,72.57402,22.79904,,,10,03-07-2018 09:37
187,ADI,GNC-KLL,,008/11,ACA,,,,23.26274,72.57345,23.74392,,,11,03-07-2018 09:36
188,ADI,GNC-KLL,,008/10,,,,,23.26244,72.57294,23.68296,,,11,03-07-2018 09:35
189,ADI,GNC-KLL,,008/9,,,,,23.2621,72.57237,25.35936,,,9,03-07-2018 09:32
190,ADI,GNC-KLL,,008/8,,,,,23.2618,72.57179,24.41448,,,9,03-07-2018 09:30
191,ADI,GNC-KLL,,008/7,,,,,23.26151,72.57128,23.4696,,,9,03-07-2018 09:29
192,ADI,GNC-KLL,,008/6,ATD,,,,23.26118,72.57072,23.37816,,,9,03-07-2018 09:27
193,ADI,GNC-KLL,,008/5,IOL,,,,23.26086,72.57014,26.30424,,,7,03-07-2018 09:26
194,ADI,GNC-KLL,,008/4,IOL,SSP AOARAJMATI,,,23.26057,72.56964,24.59736,,,7,03-07-2018 09:25
195,ADI,GNC-KLL,,008/3,,LC NO 7,,,23.26028,72.56918,24.44496,,,6,03-07-2018 09:23
196,ADI,GNC-KLL,,008/2,ATD,,,,23.26008,72.56879,23.89632,,,6,03-07-2018 09:22
197,ADI,GNC-KLL,,008/1,ATD,,,,23.25983,72.56844,24.26208,,,4,03-07-2018 09:21
198,ADI,GNC-KLL,,007/19,T-OUT,,,,23.23733,72.50745,0,,,2,03-06-2018 10:50
199,ADI,GNC-KLL,,007/18,,,,,23.25926,72.56788,0,,,3,03-06-2018 10:51
200,ADI,GNC-KLL,,007/17,,,,,23.25927,72.56743,21.70176,,,6,03-06-2018 10:54
201,ADI,GNC-KLL,,007/16,,,,,23.25904,72.56703,24.96312,,,7,03-06-2018 10:55
202,ADI,GNC-KLL,,007/15,ACA,,,,23.25875,72.56649,25.72512,,,7,03-06-2018 10:57
203,ADI,GNC-KLL,,007/14,ACC,,,,23.25844,72.56592,25.08504,,,8,03-06-2018 10:59
204,ADI,GNC-KLL,,007/13,ACA,,,,23.2581,72.56536,25.17648,,,7,03-06-2018 11:00
205,ADI,GNC-KLL,,007/12,,,,,23.25785,72.56488,25.20696,,,8,03-06-2018 11:01
206,ADI,GNC-KLL,,007/11,,,,,23.25758,72.56434,23.34768,,,6,03-06-2018 11:02
207,ADI,GNC-KLL,,007/10,,,,,23.25724,72.56384,25.146,,,7,03-06-2018 11:04
208,ADI,GNC-KLL,,007/9,,,,,23.25696,72.56334,23.34768,,,8,03-06-2018 11:05
209,ADI,GNC-KLL,,007/8,,,,,23.25667,72.56278,21.1836,,,8,03-06-2018 11:06
210,ADI,GNC-KLL,,007/7,IOL,,,,23.25639,72.56221,21.73224,,,6,03-06-2018 11:07
211,ADI,GNC-KLL,,007/6,IOL/SM 241,,,,23.2561,72.56184,21.0312,,,6,03-06-2018 11:08
212,ADI,GNC-KLL,,007/5,IOL,,,,23.25594,72.56146,21.27504,,,8,03-06-2018 11:09
213,ADI,GNC-KLL,,007/4,,,,,23.2557,72.56116,24.44496,,,9,03-06-2018 11:12
214,ADI,GNC-KLL,,007/3,ATD,,,,23.2555,72.56081,23.10384,,,8,03-06-2018 11:13
215,ADI,GNC-KLL,,007/2,UIOL,,,,23.25527,72.56038,22.46376,,,10,03-06-2018 11:14
216,ADI,GNC-KLL,,007/1,ATD,,,,23.25503,72.55994,19.78152,,,5,03-06-2018 11:15
217,ADI,GNC-KLL,,006/16,ACA,,,,23.2547,72.55939,21.9456,,,10,03-06-2018 11:17
218,ADI,GNC-KLL,,006/15,ACC,LC NO 6,,,23.25449,72.55904,21.39696,,,7,03-06-2018 11:18
219,ADI,GNC-KLL,,006/14,SM 242,,,,23.25425,72.55862,22.21992,,,10,03-06-2018 11:19
220,ADI,GNC-KLL,,006/13,IOL,,,,23.25402,72.55821,22.34184,,,11,03-06-2018 11:20
221,ADI,GNC-KLL,,006/12,IOL,,,,23.25379,72.55779,23.13432,,,7,03-06-2018 11:21
222,ADI,GNC-KLL,,006/11,ATD,,,,23.25348,72.55732,21.73224,,,10,03-06-2018 11:22
223,ADI,GNC-KLL,,006/10,,,,,23.2532,72.55675,21.39696,,,11,03-06-2018 11:24
224,ADI,GNC-KLL,,006/9,,,,,23.25289,72.55619,20.36064,,,11,03-06-2018 11:25
225,ADI,GNC-KLL,,006/8,,,,,23.25262,72.55566,20.90928,,,8,03-06-2018 11:26
226,ADI,GNC-KLL,,006/7,,,,,23.25224,72.55511,22.03704,,,6,03-06-2018 11:28
227,ADI,GNC-KLL,,006/6,ATD,,,,23.25191,72.55454,22.52472,,,9,03-06-2018 11:29
228,ADI,GNC-KLL,,006/5,UIOL,,,,23.25164,72.554,22.73808,,,11,03-06-2018 11:30
229,ADI,GNC-KLL,,006/4,UIOL,,,,23.25131,72.55345,21.73224,,,9,03-06-2018 11:32
230,ADI,GNC-KLL,,006/3,ATD,,,,23.251,72.5529,21.42744,,,7,03-06-2018 11:33
231,ADI,GNC-KLL,,006/2,,,,,23.25066,72.55238,21.61032,,,9,03-06-2018 11:34
232,ADI,GNC-KLL,,006/1,,LC NO 5,,,23.25044,72.55195,22.46376,,,11,03-06-2018 11:35
233,ADI,GNC-KLL,,005/16,,,,,23.25019,72.55145,22.86,,,11,03-06-2018 11:37
234,ADI,GNC-KLL,,005/15,,,,,23.24992,72.551,22.86,,,9,03-06-2018 11:38
235,ADI,GNC-KLL,,005/14,,,,,23.24964,72.55052,22.7076,,,9,03-06-2018 11:39
236,ADI,GNC-KLL,,005/13,,LC NO 4,,,23.24938,72.55008,22.92096,,,10,03-06-2018 11:40
237,ADI,GNC-KLL,,005/12,,,,,23.24908,72.54962,20.69592,,,11,03-06-2018 11:54
238,ADI,GNC-KLL,,005/11,ACA,,,,23.24877,72.549,22.098,,,11,03-06-2018 11:56
239,ADI,GNC-KLL,,005/10,ACC,,,,23.24844,72.54844,21.45792,,,5,03-06-2018 11:57
240,ADI,GNC-KLL,,005/9,ACA,,,,23.2481,72.54788,0,,,3,03-06-2018 11:58
241,ADI,GNC-KLL,,005/8,,,,,23.24782,72.54741,21.12264,,,9,03-06-2018 11:59
242,ADI,GNC-KLL,,005/7,,,,,23.2475,72.54684,23.59152,,,9,03-06-2018 12:00
243,ADI,GNC-KLL,,005/6,,,,,23.2472,72.54627,24.26208,,,9,03-06-2018 12:01
244,ADI,GNC-KLL,,005/5,,,,,23.24686,72.54573,23.43912,,,10,03-06-2018 12:03
245,ADI,GNC-KLL,,005/4,,,,,23.24657,72.54514,23.59152,,,8,03-06-2018 12:04
246,ADI,GNC-KLL,,005/3,,LC NO 3,,,23.24628,72.54463,23.25624,,,10,03-06-2018 12:05
247,ADI,GNC-KLL,,005/2,ACA,,,,23.24598,72.54421,22.5552,,,8,03-06-2018 12:06
248,ADI,GNC-KLL,,005/1,,,,,23.24572,72.54369,23.59152,,,7,03-06-2018 12:07
249,ADI,GNC-KLL,,004/16,,,,,23.24545,72.54316,23.34768,,,7,03-06-2018 12:08
250,ADI,GNC-KLL,,004/15,ATD,,,,23.24518,72.54267,21.27504,,,6,03-06-2018 12:09
